transaction_id,account_id,amount,merchant,city,transaction_timestamp,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
TXL000001,A106,1551.71,Zomato,Delhi,2026-06-19 13:14:12,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000002,A113,3390.46,Swiggy,Mumbai,2026-06-19 13:14:13,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000003,A111,278.82,Swiggy,Pune,2026-06-19 13:14:14,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000004,A102,3221.44,Swiggy,Bengaluru,2026-06-19 13:14:15,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000005,A104,2177.74,Zomato,Ahmedabad,2026-06-19 13:14:16,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000006,A110,2776.29,Zomato,Delhi,2026-06-19 13:14:17,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000007,A107,2885.91,BigBasket,Delhi,2026-06-19 13:14:18,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000008,A101,1335.16,Zomato,Delhi,2026-06-19 13:14:19,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000009,A114,2206.13,Zomato,Delhi,2026-06-19 13:14:20,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000010,A104,1212.12,Flipkart,Mumbai,2026-06-19 13:14:21,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000011,A111,3232.19,Myntra,Delhi,2026-06-19 13:14:22,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000012,A114,2934.81,Myntra,Pune,2026-06-19 13:14:23,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000013,A111,2810.74,Flipkart,Delhi,2026-06-19 13:14:24,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000014,A110,4004.41,Myntra,Pune,2026-06-19 13:14:26,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000015,A110,3292.1,Zomato,Hyderabad,2026-06-19 13:14:27,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000016,A105,2702.03,Flipkart,Hyderabad,2026-06-19 13:14:28,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000017,A109,1190.83,Zomato,Mumbai,2026-06-19 13:14:29,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000018,A108,4294.33,Swiggy,Delhi,2026-06-19 13:14:30,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000019,A105,606.14,BigBasket,Hyderabad,2026-06-19 13:14:31,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
TXL000020,A113,1787.84,BigBasket,Pune,2026-06-19 13:14:32,2026-06-19 13:23:18.693790,0,2026-06-19 13:23:18.440
