date_key,full_date,day_of_week,day_of_month,week_of_year,month_num,month_name,quarter,year,is_weekend
20260101,2026-01-01,Thursday,1,1,1,January,1,2026,False
20260102,2026-01-02,Friday,2,1,1,January,1,2026,False
20260103,2026-01-03,Saturday,3,1,1,January,1,2026,True
20260104,2026-01-04,Sunday,4,1,1,January,1,2026,True
20260105,2026-01-05,Monday,5,2,1,January,1,2026,False
20260106,2026-01-06,Tuesday,6,2,1,January,1,2026,False
20260107,2026-01-07,Wednesday,7,2,1,January,1,2026,False
20260108,2026-01-08,Thursday,8,2,1,January,1,2026,False
20260109,2026-01-09,Friday,9,2,1,January,1,2026,False
20260110,2026-01-10,Saturday,10,2,1,January,1,2026,True
20260111,2026-01-11,Sunday,11,2,1,January,1,2026,True
20260112,2026-01-12,Monday,12,3,1,January,1,2026,False
20260113,2026-01-13,Tuesday,13,3,1,January,1,2026,False
20260114,2026-01-14,Wednesday,14,3,1,January,1,2026,False
20260115,2026-01-15,Thursday,15,3,1,January,1,2026,False
20260116,2026-01-16,Friday,16,3,1,January,1,2026,False
20260117,2026-01-17,Saturday,17,3,1,January,1,2026,True
20260118,2026-01-18,Sunday,18,3,1,January,1,2026,True
20260119,2026-01-19,Monday,19,4,1,January,1,2026,False
20260120,2026-01-20,Tuesday,20,4,1,January,1,2026,False
