suspicious_id,transaction_id,account_key,date_key,amount,merchant,city,risk_category,rules_triggered,rule_count,flag_high_value,flag_velocity,flag_geo_mismatch,flag_new_account,flag_kyc_non_compliant,txn_count_in_window,account_open_date,kyc_status,transaction_timestamp,flagged_at
59,TX4061,3,20260303,6596.99,Swiggy,Chennai,MEDIUM,,4,True,False,True,True,True,1,2024-10-23,EXPIRED,2026-03-03 12:47:00,2026-06-19 19:34:42.654746
400,TX2357,36,20260202,6434.61,Flipkart,Chennai,LOW,,4,True,False,True,True,True,1,2024-08-11,EXPIRED,2026-02-02 18:58:00,2026-06-19 19:34:42.654746
656,TX2020,105,20260107,6122.18,Swiggy,Chennai,LOW,,4,True,False,True,True,True,1,2025-02-14,EXPIRED,2026-01-07 12:47:00,2026-06-19 19:34:42.654746
661,TX3247,105,20260320,8000.00,Amazon,Pune,LOW,,4,True,False,True,True,True,1,2025-02-14,EXPIRED,2026-03-20 09:58:00,2026-06-19 19:34:42.654746
663,TX5084,105,20260408,6822.64,Nykaa,Ahmedabad,LOW,,4,True,False,True,True,True,1,2025-02-14,EXPIRED,2026-04-08 20:53:00,2026-06-19 19:34:42.654746
990,TX3984,177,20260320,6579.19,Ola,Hyderabad,LOW,,4,True,False,True,True,True,1,2024-12-26,PENDING,2026-03-20 11:10:00,2026-06-19 19:34:42.654746
1009,TX2019,182,20260112,7834.09,Swiggy,Pune,HIGH,,4,True,False,True,True,True,1,2024-12-11,PENDING,2026-01-12 11:55:00,2026-06-19 19:34:42.654746
1157,TX3041,233,20260209,5154.16,Myntra,Delhi,LOW,,4,True,False,True,True,True,1,2025-03-05,EXPIRED,2026-02-09 15:38:00,2026-06-19 19:34:42.654746
1186,TX1574,242,20260124,8000.00,Amazon,Mumbai,LOW,,4,True,False,True,True,True,1,2024-12-14,PENDING,2026-01-24 10:31:00,2026-06-19 19:34:42.654746
1739,TX6589,357,20260623,5219.43,Ola,Kolkata,LOW,,4,True,False,True,True,True,1,2025-01-02,PENDING,2026-06-23 19:55:00,2026-06-19 19:34:42.654746
2164,TX6103,488,20260508,7589.91,Myntra,Mumbai,MEDIUM,,4,True,False,True,True,True,1,2025-04-05,EXPIRED,2026-05-08 05:51:00,2026-06-19 19:34:42.654746
60,TXL20260622075000HV0,257,20260622,66572.33,Flipkart,Kolkata,MEDIUM,,4,True,False,True,True,True,1,2025-02-05,PENDING,2026-06-22 07:50:00,2026-06-22 19:36:38.715872
130,TXL000084,5,20260619,1265.12,Myntra,Pune,LOW,,3,False,True,True,False,True,6,2023-07-30,EXPIRED,2026-06-19 13:15:39,2026-06-19 19:34:42.654746
71,TXL000041,3,20260619,3043.95,Swiggy,Pune,MEDIUM,,3,False,True,True,False,True,4,2024-10-23,EXPIRED,2026-06-19 13:14:54,2026-06-19 19:34:42.654746
13,TXL000151,1,20260619,2639.76,Flipkart,Delhi,LOW,,3,False,True,True,False,True,10,2018-01-11,PENDING,2026-06-19 13:16:48,2026-06-19 19:34:42.654746
75,TXL000078,3,20260619,1398.36,Amazon,Ahmedabad,MEDIUM,,3,False,True,True,False,True,8,2024-10-23,EXPIRED,2026-06-19 13:15:32,2026-06-19 19:34:42.654746
16,TXL000154,1,20260619,1117.59,Flipkart,Ahmedabad,LOW,,3,False,True,True,False,True,10,2018-01-11,PENDING,2026-06-19 13:16:48,2026-06-19 19:34:42.654746
76,TXL000086,3,20260619,4139.86,Bigbasket,Hyderabad,MEDIUM,,3,False,True,True,False,True,9,2024-10-23,EXPIRED,2026-06-19 13:15:41,2026-06-19 19:34:42.654746
18,TXL000182,1,20260619,3856.18,Swiggy,Ahmedabad,LOW,,3,False,True,True,False,True,12,2018-01-11,PENDING,2026-06-19 13:17:18,2026-06-19 19:34:42.654746
77,TXL000088,3,20260619,1977.26,Swiggy,Pune,MEDIUM,,3,False,True,True,False,True,10,2024-10-23,EXPIRED,2026-06-19 13:15:43,2026-06-19 19:34:42.654746
