transaction_id,account_key,date_key,amount,merchant,city,source_system,is_city_mismatch,risk_category,account_status,transaction_timestamp
TX1505,236,20260101,1384.48,Zomato,Kolkata,ADLS_HISTORICAL,False,MEDIUM,ACTIVE,2026-01-01 02:10:00
TX1302,357,20260101,7246.25,Swiggy,Ahmedabad,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 02:47:00
TX1573,33,20260101,509.04,Zomato,Pune,ADLS_HISTORICAL,False,MEDIUM,ACTIVE,2026-01-01 04:28:00
TX1853,364,20260101,359.18,Meesho,Kolkata,ADLS_HISTORICAL,True,MEDIUM,ACTIVE,2026-01-01 04:41:00
TX1164,16,20260101,2049.77,Zomato,Pune,ADLS_HISTORICAL,True,HIGH,ACTIVE,2026-01-01 05:02:00
TX1430,49,20260101,659.17,Meesho,Ahmedabad,ADLS_HISTORICAL,False,HIGH,ACTIVE,2026-01-01 06:42:00
TX1008,377,20260101,440.19,Ola,Kolkata,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 07:51:00
TX1091,36,20260101,841.57,Myntra,Hyderabad,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 09:08:00
TX1988,346,20260101,2690.99,Nykaa,Chennai,ADLS_HISTORICAL,False,HIGH,ACTIVE,2026-01-01 09:17:00
TX1571,299,20260101,77.96,Amazon,Pune,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 09:18:00
TX1113,146,20260101,902.32,Flipkart,Delhi,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 09:24:00
TX1559,100,20260101,2059.08,Amazon,Pune,ADLS_HISTORICAL,False,MEDIUM,ACTIVE,2026-01-01 09:48:00
TX1294,225,20260101,632.60,Swiggy,Bengaluru,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 10:20:00
TX1528,179,20260101,3292.85,Swiggy,Ahmedabad,ADLS_HISTORICAL,True,LOW,ACTIVE,2026-01-01 10:39:00
TX1407,248,20260101,206.31,Amazon,Chennai,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 10:56:00
TX1644,134,20260101,552.35,Nykaa,Pune,ADLS_HISTORICAL,True,LOW,ACTIVE,2026-01-01 11:11:00
TX1460,388,20260101,181.89,Flipkart,Pune,ADLS_HISTORICAL,True,HIGH,ACTIVE,2026-01-01 11:12:00
TX1525,48,20260101,1288.78,Swiggy,Ahmedabad,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 13:06:00
TX1359,198,20260101,3898.91,Pharmeasy,Ahmedabad,ADLS_HISTORICAL,False,MEDIUM,ACTIVE,2026-01-01 13:07:00
TX1763,255,20260101,243.37,Amazon,Ahmedabad,ADLS_HISTORICAL,False,LOW,ACTIVE,2026-01-01 13:08:00
